"Index","Success","DurationMs","Status","Error"
"1","True","138","{""trip"":{""id"":2,""passenger_id"":76,""driver_id"":null,""status"":""accepted"",""pickup_lat"":10.7769,""pickup_lng"":105.7009,""dropoff_lat"":10.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.119Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"2","True","50","{""trip"":{""id"":3,""passenger_id"":25,""driver_id"":null,""status"":""accepted"",""pickup_lat"":9.7769,""pickup_lng"":106.7009,""dropoff_lat"":9.7769,""dropoff_lng"":106.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.206Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"3","True","53","{""trip"":{""id"":4,""passenger_id"":55,""driver_id"":null,""status"":""accepted"",""pickup_lat"":9.7769,""pickup_lng"":106.7009,""dropoff_lat"":9.7769,""dropoff_lng"":106.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.262Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"4","True","61","{""trip"":{""id"":5,""passenger_id"":40,""driver_id"":null,""status"":""accepted"",""pickup_lat"":10.7769,""pickup_lng"":106.7009,""dropoff_lat"":9.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.328Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"5","True","53","{""trip"":{""id"":6,""passenger_id"":82,""driver_id"":null,""status"":""accepted"",""pickup_lat"":9.7769,""pickup_lng"":105.7009,""dropoff_lat"":10.7769,""dropoff_lng"":106.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.383Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"6","True","50","{""trip"":{""id"":7,""passenger_id"":15,""driver_id"":null,""status"":""accepted"",""pickup_lat"":9.7769,""pickup_lng"":105.7009,""dropoff_lat"":10.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.441Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"7","True","52","{""trip"":{""id"":8,""passenger_id"":1,""driver_id"":null,""status"":""accepted"",""pickup_lat"":10.7769,""pickup_lng"":106.7009,""dropoff_lat"":10.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.496Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"8","True","58","{""trip"":{""id"":9,""passenger_id"":51,""driver_id"":null,""status"":""accepted"",""pickup_lat"":9.7769,""pickup_lng"":106.7009,""dropoff_lat"":10.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.556Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"9","True","52","{""trip"":{""id"":10,""passenger_id"":14,""driver_id"":null,""status"":""accepted"",""pickup_lat"":10.7769,""pickup_lng"":105.7009,""dropoff_lat"":9.7769,""dropoff_lng"":106.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.614Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
"10","True","57","{""trip"":{""id"":11,""passenger_id"":93,""driver_id"":null,""status"":""accepted"",""pickup_lat"":10.7769,""pickup_lng"":106.7009,""dropoff_lat"":9.7769,""dropoff_lng"":105.7009,""price_estimate"":45000,""created_at"":""2026-01-21T08:03:19.678Z""},""driver"":{""id"":null,""distance"":5},""price"":45000}",
