"Index","Success","DurationMs","Status","Error"
"1","True","25","{""id"":20252,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9267.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.387Z"",""updated_at"":""2026-01-22T10:29:29.387Z""}",
"2","True","11","{""id"":20253,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""11940.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.401Z"",""updated_at"":""2026-01-22T10:29:29.401Z""}",
"3","True","9","{""id"":20254,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17116.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.414Z"",""updated_at"":""2026-01-22T10:29:29.414Z""}",
"4","True","8","{""id"":20255,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""18900.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.426Z"",""updated_at"":""2026-01-22T10:29:29.426Z""}",
"5","True","10","{""id"":20256,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""3005.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.438Z"",""updated_at"":""2026-01-22T10:29:29.438Z""}",
"6","True","8","{""id"":20257,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""3056.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.450Z"",""updated_at"":""2026-01-22T10:29:29.450Z""}",
"7","True","10","{""id"":20258,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""13990.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.463Z"",""updated_at"":""2026-01-22T10:29:29.463Z""}",
"8","True","7","{""id"":20259,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19157.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.475Z"",""updated_at"":""2026-01-22T10:29:29.475Z""}",
"9","True","8","{""id"":20260,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""3581.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.485Z"",""updated_at"":""2026-01-22T10:29:29.485Z""}",
"10","True","8","{""id"":20261,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""18838.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.496Z"",""updated_at"":""2026-01-22T10:29:29.496Z""}",
"11","True","9","{""id"":20262,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""15326.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.507Z"",""updated_at"":""2026-01-22T10:29:29.507Z""}",
"12","True","6","{""id"":20263,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9362.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.520Z"",""updated_at"":""2026-01-22T10:29:29.520Z""}",
"13","True","7","{""id"":20264,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""18394.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.528Z"",""updated_at"":""2026-01-22T10:29:29.528Z""}",
"14","True","7","{""id"":20265,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12577.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.541Z"",""updated_at"":""2026-01-22T10:29:29.541Z""}",
"15","True","8","{""id"":20266,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""182.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.551Z"",""updated_at"":""2026-01-22T10:29:29.551Z""}",
"16","True","9","{""id"":20267,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9974.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.561Z"",""updated_at"":""2026-01-22T10:29:29.561Z""}",
"17","True","9","{""id"":20268,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4852.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.574Z"",""updated_at"":""2026-01-22T10:29:29.574Z""}",
"18","True","6","{""id"":20269,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""665.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.587Z"",""updated_at"":""2026-01-22T10:29:29.587Z""}",
"19","True","7","{""id"":20270,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4511.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.595Z"",""updated_at"":""2026-01-22T10:29:29.595Z""}",
"20","True","6","{""id"":20271,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10427.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.606Z"",""updated_at"":""2026-01-22T10:29:29.606Z""}",
"21","True","8","{""id"":20272,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17689.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.617Z"",""updated_at"":""2026-01-22T10:29:29.617Z""}",
"22","True","6","{""id"":20273,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""14023.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.625Z"",""updated_at"":""2026-01-22T10:29:29.625Z""}",
"23","True","7","{""id"":20274,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4624.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.636Z"",""updated_at"":""2026-01-22T10:29:29.636Z""}",
"24","True","7","{""id"":20275,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""854.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.645Z"",""updated_at"":""2026-01-22T10:29:29.645Z""}",
"25","True","6","{""id"":20276,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""6206.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.655Z"",""updated_at"":""2026-01-22T10:29:29.655Z""}",
"26","True","7","{""id"":20277,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12142.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.664Z"",""updated_at"":""2026-01-22T10:29:29.664Z""}",
"27","True","7","{""id"":20278,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12789.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.673Z"",""updated_at"":""2026-01-22T10:29:29.673Z""}",
"28","True","9","{""id"":20279,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9808.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.687Z"",""updated_at"":""2026-01-22T10:29:29.687Z""}",
"29","True","7","{""id"":20280,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12413.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.696Z"",""updated_at"":""2026-01-22T10:29:29.696Z""}",
"30","True","6","{""id"":20281,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""16776.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.706Z"",""updated_at"":""2026-01-22T10:29:29.706Z""}",
"31","True","8","{""id"":20282,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4130.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.717Z"",""updated_at"":""2026-01-22T10:29:29.717Z""}",
"32","True","6","{""id"":20283,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19914.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.725Z"",""updated_at"":""2026-01-22T10:29:29.725Z""}",
"33","True","6","{""id"":20284,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""11183.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.737Z"",""updated_at"":""2026-01-22T10:29:29.737Z""}",
"34","True","7","{""id"":20285,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19737.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.746Z"",""updated_at"":""2026-01-22T10:29:29.746Z""}",
"35","True","10","{""id"":20286,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""11931.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.757Z"",""updated_at"":""2026-01-22T10:29:29.757Z""}",
"36","True","9","{""id"":20287,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""18458.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.771Z"",""updated_at"":""2026-01-22T10:29:29.771Z""}",
"37","True","7","{""id"":20288,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""7672.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.783Z"",""updated_at"":""2026-01-22T10:29:29.783Z""}",
"38","True","6","{""id"":20289,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17891.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.792Z"",""updated_at"":""2026-01-22T10:29:29.792Z""}",
"39","True","7","{""id"":20290,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""1033.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.803Z"",""updated_at"":""2026-01-22T10:29:29.803Z""}",
"40","True","7","{""id"":20291,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""13226.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.812Z"",""updated_at"":""2026-01-22T10:29:29.812Z""}",
"41","True","8","{""id"":20292,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""989.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.823Z"",""updated_at"":""2026-01-22T10:29:29.823Z""}",
"42","True","6","{""id"":20293,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10262.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.835Z"",""updated_at"":""2026-01-22T10:29:29.835Z""}",
"43","True","6","{""id"":20294,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4401.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.843Z"",""updated_at"":""2026-01-22T10:29:29.843Z""}",
"44","True","7","{""id"":20295,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17419.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.856Z"",""updated_at"":""2026-01-22T10:29:29.856Z""}",
"45","True","10","{""id"":20296,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""3513.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.870Z"",""updated_at"":""2026-01-22T10:29:29.870Z""}",
"46","True","9","{""id"":20297,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""13683.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.881Z"",""updated_at"":""2026-01-22T10:29:29.881Z""}",
"47","True","8","{""id"":20298,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""5290.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.892Z"",""updated_at"":""2026-01-22T10:29:29.892Z""}",
"48","True","6","{""id"":20299,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""2073.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.904Z"",""updated_at"":""2026-01-22T10:29:29.904Z""}",
"49","True","8","{""id"":20300,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4307.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.913Z"",""updated_at"":""2026-01-22T10:29:29.913Z""}",
"50","True","6","{""id"":20301,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""15957.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.924Z"",""updated_at"":""2026-01-22T10:29:29.924Z""}",
"51","True","7","{""id"":20302,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""15577.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.934Z"",""updated_at"":""2026-01-22T10:29:29.934Z""}",
"52","True","6","{""id"":20303,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""15506.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.943Z"",""updated_at"":""2026-01-22T10:29:29.943Z""}",
"53","True","7","{""id"":20304,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""6220.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.955Z"",""updated_at"":""2026-01-22T10:29:29.955Z""}",
"54","True","7","{""id"":20305,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""7270.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.964Z"",""updated_at"":""2026-01-22T10:29:29.964Z""}",
"55","True","6","{""id"":20306,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9917.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.974Z"",""updated_at"":""2026-01-22T10:29:29.974Z""}",
"56","True","7","{""id"":20307,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10649.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.985Z"",""updated_at"":""2026-01-22T10:29:29.985Z""}",
"57","True","6","{""id"":20308,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12719.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:29.994Z"",""updated_at"":""2026-01-22T10:29:29.994Z""}",
"58","True","6","{""id"":20309,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""2704.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.005Z"",""updated_at"":""2026-01-22T10:29:30.005Z""}",
"59","True","7","{""id"":20310,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""5851.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.013Z"",""updated_at"":""2026-01-22T10:29:30.013Z""}",
"60","True","6","{""id"":20311,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10341.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.023Z"",""updated_at"":""2026-01-22T10:29:30.023Z""}",
"61","True","7","{""id"":20312,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""9055.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.034Z"",""updated_at"":""2026-01-22T10:29:30.034Z""}",
"62","True","6","{""id"":20313,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""4006.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.043Z"",""updated_at"":""2026-01-22T10:29:30.043Z""}",
"63","True","6","{""id"":20314,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""2937.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.053Z"",""updated_at"":""2026-01-22T10:29:30.053Z""}",
"64","True","7","{""id"":20315,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""16699.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.062Z"",""updated_at"":""2026-01-22T10:29:30.062Z""}",
"65","True","6","{""id"":20316,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10119.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.073Z"",""updated_at"":""2026-01-22T10:29:30.073Z""}",
"66","True","7","{""id"":20317,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""1285.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.082Z"",""updated_at"":""2026-01-22T10:29:30.082Z""}",
"67","True","6","{""id"":20318,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""6310.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.092Z"",""updated_at"":""2026-01-22T10:29:30.092Z""}",
"68","True","8","{""id"":20319,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19767.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.103Z"",""updated_at"":""2026-01-22T10:29:30.103Z""}",
"69","True","7","{""id"":20320,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""2260.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.113Z"",""updated_at"":""2026-01-22T10:29:30.113Z""}",
"70","True","6","{""id"":20321,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""1090.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.124Z"",""updated_at"":""2026-01-22T10:29:30.124Z""}",
"71","True","8","{""id"":20322,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""11364.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.135Z"",""updated_at"":""2026-01-22T10:29:30.135Z""}",
"72","True","5","{""id"":20323,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""6023.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.143Z"",""updated_at"":""2026-01-22T10:29:30.143Z""}",
"73","True","6","{""id"":20324,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""16468.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.153Z"",""updated_at"":""2026-01-22T10:29:30.153Z""}",
"74","True","9","{""id"":20325,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""5880.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.161Z"",""updated_at"":""2026-01-22T10:29:30.161Z""}",
"75","True","39","{""id"":20326,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17339.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.174Z"",""updated_at"":""2026-01-22T10:29:30.174Z""}",
"76","True","40","{""id"":20327,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17792.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.254Z"",""updated_at"":""2026-01-22T10:29:30.254Z""}",
"77","True","8","{""id"":20328,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""155.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.265Z"",""updated_at"":""2026-01-22T10:29:30.265Z""}",
"78","True","19","{""id"":20329,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""8962.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.288Z"",""updated_at"":""2026-01-22T10:29:30.288Z""}",
"79","True","8","{""id"":20330,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""18498.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.299Z"",""updated_at"":""2026-01-22T10:29:30.299Z""}",
"80","True","8","{""id"":20331,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""2178.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.311Z"",""updated_at"":""2026-01-22T10:29:30.311Z""}",
"81","True","11","{""id"":20332,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""8600.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.321Z"",""updated_at"":""2026-01-22T10:29:30.321Z""}",
"82","True","8","{""id"":20333,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19662.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.337Z"",""updated_at"":""2026-01-22T10:29:30.337Z""}",
"83","True","9","{""id"":20334,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""864.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.349Z"",""updated_at"":""2026-01-22T10:29:30.349Z""}",
"84","True","7","{""id"":20335,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""17228.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.360Z"",""updated_at"":""2026-01-22T10:29:30.360Z""}",
"85","True","6","{""id"":20336,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""10904.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.371Z"",""updated_at"":""2026-01-22T10:29:30.371Z""}",
"86","True","10","{""id"":20337,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""14642.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.381Z"",""updated_at"":""2026-01-22T10:29:30.381Z""}",
"87","True","13","{""id"":20338,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""5295.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.394Z"",""updated_at"":""2026-01-22T10:29:30.394Z""}",
"88","True","14","{""id"":20339,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""12241.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.412Z"",""updated_at"":""2026-01-22T10:29:30.412Z""}",
"89","True","9","{""id"":20340,""trip_id"":1,""user_id"":1,""driver_id"":null,""amount"":""19559.00"",""currency"":""VND"",""status"":""pending"",""payment_method"":""card"",""transaction_id"":null,""created_at"":""2026-01-22T10:29:30.428Z"",""updated_at"":""2026-01-22T10:29:30.428Z""}",
